Parça No,Deneme Sayısı,Başarı,Zaman (saniye)
0,2,✓,3.239
1,1,✓,0.001
2,1,✓,0.0
3,1,✓,0.0
4,1,✓,0.001
5,1,✓,0.0
6,1,✓,0.001
7,1,✓,0.001
8,1,✓,0.0
9,1,✓,0.0
10,1,✓,0.002
11,1,✓,0.001
12,1,✓,0.001
13,1,✓,0.0
14,1,✓,0.001
15,1,✓,0.0
16,1,✓,0.0
17,1,✓,0.0
18,1,✓,0.0
19,1,✓,0.0
20,1,✓,0.0
21,1,✓,0.0
22,1,✓,0.0
23,1,✓,0.0
24,1,✓,0.0
25,1,✓,0.003
26,1,✓,0.001
27,1,✓,0.0
28,1,✓,0.001
29,1,✓,0.0
30,1,✓,0.0
31,1,✓,0.0
32,1,✓,0.0
33,1,✓,0.0
34,1,✓,0.0
35,1,✓,0.0
36,1,✓,0.001
37,1,✓,0.002
38,1,✓,0.0
39,1,✓,0.0
40,1,✓,0.0
41,1,✓,0.001
42,1,✓,0.004
43,1,✓,0.001
44,1,✓,0.0
45,1,✓,0.001
46,1,✓,0.001
47,1,✓,0.001
48,1,✓,0.0
49,1,✓,0.0
50,1,✓,0.0
51,1,✓,0.001
52,1,✓,0.0
53,1,✓,0.001
54,1,✓,0.001
55,1,✓,0.0
56,1,✓,0.001
57,1,✓,0.0
58,1,✓,0.0
59,1,✓,0.0
60,1,✓,0.0
61,1,✓,0.001
62,1,✓,0.0
63,1,✓,0.0
64,1,✓,0.004
65,1,✓,0.001
66,1,✓,0.0
67,1,✓,0.001
68,1,✓,0.001
69,1,✓,0.0
70,1,✓,0.001
71,1,✓,0.002
72,1,✓,0.004
73,1,✓,0.001
74,1,✓,0.0
75,1,✓,0.002
76,1,✓,0.001
77,1,✓,0.001
78,1,✓,0.001
79,1,✓,0.001
80,1,✓,0.001
81,1,✓,0.0
82,1,✓,0.0
83,1,✓,0.0
84,1,✓,0.001
85,1,✓,0.0
86,1,✓,0.001
87,1,✓,0.001
88,1,✓,0.0
89,1,✓,0.0
90,1,✓,0.0
91,1,✓,0.0
92,1,✓,0.0
93,1,✓,0.001
94,1,✓,0.0
95,1,✓,0.0
96,1,✓,0.001
97,1,✓,0.0
98,1,✓,0.0
99,1,✓,0.0
100,1,✓,0.0
101,1,✓,0.0
102,1,✓,0.0
103,1,✓,0.0
104,1,✓,0.0
105,1,✓,0.0
106,1,✓,0.0
107,1,✓,0.0
108,1,✓,0.001
109,1,✓,0.0
110,1,✓,0.001
111,1,✓,0.0
112,1,✓,0.0
113,1,✓,0.0
114,1,✓,0.0
115,1,✓,0.0
116,1,✓,0.0
117,1,✓,0.001
118,1,✓,0.0
119,1,✓,0.0
120,1,✓,0.0
121,1,✓,0.0
122,1,✓,0.0
123,1,✓,0.0
124,1,✓,0.0
125,1,✓,0.006
126,1,✓,0.001
127,1,✓,0.0
128,1,✓,0.0
129,1,✓,0.001
130,1,✓,0.0
131,1,✓,0.0
132,1,✓,0.0
133,1,✓,0.0
134,1,✓,0.0
135,1,✓,0.0
136,1,✓,0.0
137,1,✓,0.001
138,1,✓,0.0
139,1,✓,0.001
140,1,✓,0.0
141,1,✓,0.001
142,1,✓,0.0
143,1,✓,0.0
144,1,✓,0.0
145,1,✓,0.0
146,1,✓,0.0
147,1,✓,0.0
148,1,✓,0.001
149,1,✓,0.0
150,1,✓,0.0
151,1,✓,0.0
152,1,✓,0.0
153,1,✓,0.001
154,1,✓,0.0
155,1,✓,0.0
156,1,✓,0.0
157,1,✓,0.0
158,1,✓,0.0
159,1,✓,0.002
160,1,✓,0.0
161,1,✓,0.005
162,1,✓,0.0
163,1,✓,0.0
164,1,✓,0.0
165,1,✓,0.0
166,1,✓,0.0
167,1,✓,0.0
168,1,✓,0.0
169,1,✓,0.0
170,1,✓,0.001
171,1,✓,0.0
172,1,✓,0.001
173,1,✓,0.001
174,1,✓,0.0
175,1,✓,0.0
176,1,✓,0.0
177,1,✓,0.0
178,1,✓,0.0
179,1,✓,0.0
180,1,✓,0.0
181,1,✓,0.0
182,1,✓,0.001
183,1,✓,0.0
184,1,✓,0.0
185,1,✓,0.001
186,1,✓,0.0
187,1,✓,0.0
188,1,✓,0.0
189,1,✓,0.001
190,1,✓,0.0
191,1,✓,0.0
192,1,✓,0.0
193,1,✓,0.0
194,1,✓,0.0
195,1,✓,0.001
196,1,✓,0.001
197,1,✓,0.001
198,1,✓,0.0
199,1,✓,0.0
200,1,✓,0.0
201,1,✓,0.001
202,1,✓,0.001
203,1,✓,0.0
204,1,✓,0.0
205,1,✓,0.0
206,1,✓,0.0
207,1,✓,0.0
208,1,✓,0.0
209,1,✓,0.0
210,1,✓,0.0
211,1,✓,0.0
212,1,✓,0.0
213,1,✓,0.0
214,1,✓,0.003
215,1,✓,0.0
216,1,✓,0.0
217,1,✓,0.0
218,1,✓,0.0
219,1,✓,0.0
220,1,✓,0.0
221,1,✓,0.0
222,1,✓,0.0
223,1,✓,0.0
224,1,✓,0.0
225,1,✓,0.0
226,1,✓,0.0
227,1,✓,0.0
228,1,✓,0.0
229,1,✓,0.001
230,1,✓,0.001
231,1,✓,0.002
232,1,✓,0.001
233,1,✓,0.0
234,1,✓,0.001
235,1,✓,0.001
236,1,✓,0.0
237,1,✓,0.0
238,1,✓,0.001
239,1,✓,0.001
240,1,✓,0.0
241,1,✓,0.001
242,1,✓,0.0
243,1,✓,0.001
244,1,✓,0.0
245,1,✓,0.0
246,1,✓,0.001
