Parça No,Deneme Sayısı,Başarı,Zaman (saniye)
247,1,✓,0.001
248,1,✓,0.0
249,1,✓,0.0
250,1,✓,0.0
251,1,✓,0.005
252,1,✓,0.005
253,1,✓,0.0
254,1,✓,0.001
255,1,✓,0.0
256,1,✓,0.001
257,1,✓,0.001
258,1,✓,0.0
259,1,✓,0.0
260,1,✓,0.0
261,1,✓,0.001
262,1,✓,0.001
263,1,✓,0.0
264,1,✓,0.0
265,1,✓,0.0
266,1,✓,0.0
267,1,✓,0.0
268,1,✓,0.001
269,1,✓,0.0
270,1,✓,0.0
271,1,✓,0.0
272,1,✓,0.0
273,1,✓,0.0
274,1,✓,0.001
275,1,✓,0.0
276,1,✓,0.0
277,1,✓,0.0
278,1,✓,0.0
279,1,✓,0.0
280,1,✓,0.0
281,1,✓,0.006
282,1,✓,0.003
283,1,✓,0.002
284,1,✓,0.0
285,1,✓,0.0
286,1,✓,0.001
287,1,✓,0.001
288,1,✓,0.0
289,1,✓,0.0
290,1,✓,0.0
291,1,✓,0.0
292,1,✓,0.0
293,1,✓,0.0
294,1,✓,0.0
295,1,✓,0.0
296,1,✓,0.0
297,1,✓,0.001
298,1,✓,0.0
299,1,✓,0.0
300,1,✓,0.0
301,1,✓,0.0
302,1,✓,0.0
303,1,✓,0.0
304,1,✓,0.0
305,1,✓,0.001
306,1,✓,0.007
307,1,✓,0.0
308,1,✓,0.001
309,1,✓,0.001
310,1,✓,0.0
311,1,✓,0.0
312,1,✓,0.001
313,1,✓,0.0
314,1,✓,0.0
315,1,✓,0.001
316,1,✓,0.0
317,1,✓,0.0
318,1,✓,0.0
319,1,✓,0.0
320,1,✓,0.0
321,1,✓,0.0
322,1,✓,0.001
323,1,✓,0.0
324,1,✓,0.002
325,1,✓,0.003
326,1,✓,0.002
327,1,✓,0.001
328,1,✓,0.0
329,1,✓,0.001
330,1,✓,0.001
331,1,✓,0.0
332,1,✓,0.0
333,1,✓,0.001
334,1,✓,0.001
335,1,✓,0.001
336,1,✓,0.001
337,1,✓,0.0
338,1,✓,0.001
339,1,✓,0.0
340,1,✓,0.0
341,1,✓,0.0
342,1,✓,0.001
343,1,✓,0.001
344,1,✓,0.0
345,1,✓,0.001
346,1,✓,0.001
347,1,✓,0.001
348,1,✓,0.002
349,1,✓,0.0
350,1,✓,0.0
351,1,✓,0.0
352,1,✓,0.004
353,1,✓,0.0
354,1,✓,0.001
355,1,✓,0.001
356,1,✓,0.001
357,1,✓,0.003
358,1,✓,0.002
359,1,✓,0.001
360,1,✓,0.001
361,1,✓,0.001
362,1,✓,0.002
363,1,✓,0.001
364,1,✓,0.001
365,1,✓,0.0
366,1,✓,0.0
367,1,✓,0.0
368,1,✓,0.0
369,1,✓,0.001
370,1,✓,0.001
371,1,✓,0.0
372,1,✓,0.0
373,1,✓,0.0
374,1,✓,0.0
375,1,✓,0.0
376,1,✓,0.0
377,1,✓,0.0
378,1,✓,0.0
379,1,✓,0.0
380,1,✓,0.003
381,1,✓,0.0
382,1,✓,0.001
383,1,✓,0.0
384,1,✓,0.001
385,1,✓,0.01
386,1,✓,0.0
387,1,✓,0.002
388,1,✓,0.001
389,1,✓,0.003
390,1,✓,0.001
391,1,✓,0.0
392,1,✓,0.0
393,1,✓,0.001
394,1,✓,0.001
395,1,✓,0.002
396,1,✓,0.001
397,1,✓,0.0
398,1,✓,0.001
399,1,✓,0.0
400,1,✓,0.001
401,1,✓,0.001
402,1,✓,0.005
403,1,✓,0.0
404,1,✓,0.001
405,1,✓,0.008
406,1,✓,0.001
407,1,✓,0.0
408,1,✓,0.001
409,1,✓,0.001
410,1,✓,0.002
411,1,✓,0.0
412,1,✓,0.001
413,1,✓,0.001
414,1,✓,0.0
415,1,✓,0.0
416,1,✓,0.001
417,1,✓,0.0
418,1,✓,0.0
419,1,✓,0.0
420,1,✓,0.0
421,1,✓,0.0
422,1,✓,0.001
423,1,✓,0.001
424,1,✓,0.001
425,1,✓,0.0
426,1,✓,0.001
427,1,✓,0.0
428,1,✓,0.0
429,1,✓,0.001
430,1,✓,0.003
431,1,✓,0.001
432,1,✓,0.001
433,1,✓,0.0
434,1,✓,0.001
435,1,✓,0.001
436,1,✓,0.0
437,1,✓,0.007
438,1,✓,0.0
439,1,✓,0.001
440,1,✓,0.0
441,1,✓,0.001
442,1,✓,0.001
443,1,✓,0.001
444,1,✓,0.0
445,1,✓,0.0
446,1,✓,0.0
447,1,✓,0.001
448,1,✓,0.001
449,1,✓,0.001
450,1,✓,0.001
451,1,✓,0.0
452,1,✓,0.001
453,1,✓,0.0
454,1,✓,0.0
455,1,✓,0.0
456,1,✓,0.0
457,1,✓,0.0
458,1,✓,0.0
459,1,✓,0.001
460,1,✓,0.001
461,1,✓,0.0
462,1,✓,0.0
463,1,✓,0.0
464,1,✓,0.0
465,1,✓,0.0
466,1,✓,0.0
467,1,✓,0.0
468,1,✓,0.0
469,1,✓,0.0
470,1,✓,0.0
471,1,✓,0.0
472,1,✓,0.001
473,1,✓,0.001
474,1,✓,0.0
475,1,✓,0.0
476,1,✓,0.0
477,1,✓,0.001
478,1,✓,0.001
479,1,✓,0.003
480,1,✓,0.001
481,1,✓,0.0
482,1,✓,0.001
483,1,✓,0.0
484,1,✓,0.001
485,1,✓,0.001
486,1,✓,0.001
487,1,✓,0.001
488,1,✓,0.0
489,1,✓,0.001
490,1,✓,0.0
491,1,✓,0.0
492,1,✓,0.001
493,1,✓,0.0
494,1,✓,0.0
495,1,✓,0.001
496,1,✓,0.001
497,1,✓,0.001
498,1,✓,0.001
499,1,✓,0.0
500,1,✓,0.0
501,1,✓,0.0
502,1,✓,0.002
503,1,✓,0.009
504,1,✓,0.001
505,1,✓,0.001
506,1,✓,0.001
507,1,✓,0.0
508,1,✓,0.0
509,1,✓,0.0
510,1,✓,0.0
511,1,✓,0.001
512,1,✓,0.0
513,1,✓,0.0
514,1,✓,0.0
515,1,✓,0.0
516,1,✓,0.0
517,1,✓,0.0
518,1,✓,0.0
519,1,✓,0.0
520,1,✓,0.0
521,1,✓,0.0
522,1,✓,0.0
523,1,✓,0.0
524,1,✓,0.001
525,1,✓,0.0
526,1,✓,0.0
527,1,✓,0.0
528,1,✓,0.001
529,1,✓,0.0
530,1,✓,0.0
531,1,✓,0.0
532,1,✓,0.0
533,1,✓,0.0
534,1,✓,0.0
535,1,✓,0.0
536,1,✓,0.0
537,1,✓,0.0
538,1,✓,0.0
539,1,✓,0.001
540,1,✓,0.0
541,1,✓,0.0
542,1,✓,0.0
543,1,✓,0.0
544,1,✓,0.0
545,1,✓,0.0
546,1,✓,0.0
547,1,✓,0.0
548,1,✓,0.0
549,1,✓,0.0
550,1,✓,0.001
551,1,✓,0.0
552,1,✓,0.0
553,1,✓,0.001
554,1,✓,0.001
555,1,✓,0.001
556,1,✓,0.0
557,1,✓,0.001
558,1,✓,0.002
559,1,✓,0.001
560,1,✓,0.001
561,1,✓,0.001
562,1,✓,0.0
563,1,✓,0.0
564,1,✓,0.0
565,1,✓,0.0
566,1,✓,0.0
567,1,✓,0.001
568,1,✓,0.001
569,1,✓,0.0
570,1,✓,0.0
571,1,✓,0.0
572,1,✓,0.0
573,1,✓,0.001
574,1,✓,0.002
575,1,✓,0.005
576,1,✓,0.001
577,1,✓,0.0
578,1,✓,0.0
579,1,✓,0.0
580,1,✓,0.0
581,1,✓,0.0
582,1,✓,0.001
583,1,✓,0.006
584,1,✓,0.001
585,1,✓,0.0
586,1,✓,0.0
587,1,✓,0.001
588,1,✓,0.001
589,1,✓,0.001
590,1,✓,0.001
591,1,✓,0.0
592,1,✓,0.001
593,1,✓,0.001
594,1,✓,0.001
595,1,✓,0.001
596,1,✓,0.0
597,1,✓,0.001
598,1,✓,0.001
599,1,✓,0.003
600,1,✓,0.001
601,1,✓,0.009
602,1,✓,0.003
603,1,✓,0.001
604,1,✓,0.001
605,1,✓,0.003
606,1,✓,0.001
607,1,✓,0.0
608,1,✓,0.0
609,1,✓,0.001
610,1,✓,0.0
611,1,✓,0.0
612,1,✓,0.0
613,1,✓,0.0
614,1,✓,0.001
615,1,✓,0.0
616,1,✓,0.001
617,1,✓,0.001
618,1,✓,0.0
619,1,✓,0.0
620,1,✓,0.0
621,1,✓,0.001
622,1,✓,0.0
623,1,✓,0.0
624,1,✓,0.0
625,1,✓,0.001
626,1,✓,0.001
627,1,✓,0.0
628,1,✓,0.0
629,1,✓,0.0
630,1,✓,0.0
631,1,✓,0.001
632,1,✓,0.0
633,1,✓,0.0
634,1,✓,0.001
635,1,✓,0.0
636,1,✓,0.0
637,1,✓,0.0
638,1,✓,0.0
639,1,✓,0.0
